Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,FamilySize,IsAlone,Title,TicketPrefix,AgeBin,FareBin
0,3,male,22.0,1,0,7.25,S,0,2,0,1,A/5,2,0
1,1,female,38.0,1,0,71.2833,C,1,2,0,3,PC,3,3
1,3,female,26.0,0,0,7.925,S,0,1,1,2,Other,2,1
1,1,female,35.0,1,0,53.1,S,1,2,0,3,None,2,3
0,3,male,35.0,0,0,8.05,S,0,1,1,1,None,2,1
0,3,male,24.060452020202025,0,0,8.4583,Q,0,1,1,1,None,2,1
0,1,male,54.0,0,0,51.8625,S,1,1,1,1,None,4,3
0,3,male,2.0,3,1,21.075,S,0,5,0,4,None,0,2
1,3,female,27.0,0,2,11.1333,S,0,3,0,3,None,2,1
1,2,female,14.0,1,0,30.0708,C,0,2,0,3,None,1,2
1,3,female,4.0,1,1,16.7,S,1,3,0,2,Other,0,2
1,1,female,58.0,0,0,26.55,S,1,1,1,2,None,4,2
0,3,male,20.0,0,0,8.05,S,0,1,1,1,A/5.,1,1
0,3,male,39.0,1,5,31.275,S,0,7,0,1,None,3,3
0,3,female,14.0,0,0,7.8542,S,0,1,1,2,None,1,0
1,2,female,55.0,0,0,16.0,S,0,1,1,3,None,4,2
0,3,male,2.0,4,1,29.125,Q,0,6,0,4,None,0,2
1,2,male,31.49723336732589,0,0,13.0,S,0,1,1,1,None,2,1
0,3,female,31.0,1,0,18.0,S,0,2,0,3,None,2,2
1,3,female,15.379375,0,0,7.225,C,0,1,1,3,None,1,0
0,2,male,35.0,0,0,26.0,S,0,1,1,1,None,2,2
1,2,male,34.0,0,0,13.0,S,1,1,1,1,None,2,1
1,3,female,15.0,0,0,8.0292,Q,0,1,1,2,None,1,1
1,1,male,28.0,0,0,35.5,S,1,1,1,1,None,2,3
0,3,female,8.0,3,1,21.075,S,0,5,0,2,None,0,2
1,3,female,38.0,1,5,31.3875,S,0,7,0,3,None,3,3
0,3,male,32.669700396825384,0,0,7.225,C,0,1,1,1,None,2,0
0,1,male,19.0,3,2,263.0,S,1,6,0,1,None,1,3
1,3,female,21.84016666666667,0,0,7.8792,Q,0,1,1,2,None,2,0
0,3,male,27.77767996384952,0,0,7.8958,S,0,1,1,1,None,2,0
0,1,male,40.0,0,0,27.7208,C,0,1,1,5,PC,3,2
1,1,female,36.37516666666667,1,0,146.5208,C,1,2,0,3,PC,3,3
1,3,female,25.981350080475085,0,0,7.75,Q,0,1,1,2,None,2,0
0,2,male,66.0,0,0,10.5,S,0,1,1,1,C.A.,5,1
0,1,male,28.0,1,0,82.1708,C,0,2,0,1,PC,2,3
0,1,male,42.0,1,0,52.0,S,0,2,0,1,None,3,3
1,3,male,24.901471681096687,0,0,7.2292,C,0,1,1,1,None,2,0
0,3,male,21.0,0,0,8.05,S,0,1,1,1,Other,2,1
0,3,female,18.0,2,0,18.0,S,0,3,0,2,None,1,2
1,3,female,14.0,1,0,11.2417,C,0,2,0,2,None,1,1
0,3,female,40.0,1,0,9.475,S,0,2,0,3,None,3,1
0,2,female,27.0,1,0,21.0,S,0,2,0,3,None,2,2
0,3,male,27.77767996384952,0,0,7.8958,C,0,1,1,1,None,2,0
1,2,female,3.0,1,2,41.5792,C,0,4,0,2,Other,0,3
1,3,female,19.0,0,0,7.8792,Q,0,1,1,2,None,1,0
0,3,male,30.500245379086014,0,0,8.05,S,0,1,1,1,Other,2,1
0,3,male,34.19841666666667,1,0,15.5,Q,0,2,0,1,None,2,2
1,3,female,25.981350080475085,0,0,7.75,Q,0,1,1,2,None,2,0
0,3,male,24.52025,2,0,21.6792,C,0,3,0,1,None,2,2
0,3,female,18.0,1,0,17.8,S,0,2,0,3,None,1,2
0,3,male,7.0,4,1,39.6875,S,0,6,0,4,None,0,3
0,3,male,21.0,0,0,7.8,S,0,1,1,1,Other,2,0
1,1,female,49.0,1,0,76.7292,C,1,2,0,3,PC,3,3
1,2,female,29.0,1,0,26.0,S,0,2,0,3,None,2,2
0,1,male,65.0,0,1,61.9792,C,1,2,0,1,None,4,3
1,1,male,43.10200396825397,0,0,35.5,S,1,1,1,1,None,3,3
1,2,female,21.0,0,0,10.5,S,0,1,1,2,C.A.,2,1
0,3,male,28.5,0,0,7.2292,C,0,1,1,1,None,2,0
1,2,female,5.0,1,2,27.75,S,0,4,0,2,C.A.,0,2
0,3,male,11.0,5,2,46.9,S,0,8,0,4,Other,0,3
0,3,male,22.0,0,0,7.2292,C,0,1,1,1,None,2,0
1,1,female,38.0,0,0,80.0,C,1,1,1,2,None,3,3
0,1,male,45.0,1,0,83.475,S,1,2,0,1,None,3,3
0,3,male,4.0,3,2,27.9,S,0,6,0,4,None,0,2
0,1,male,40.3862619047619,0,0,27.7208,C,0,1,1,1,PC,3,2
1,3,male,25.702650000000002,1,1,15.2458,C,0,3,0,4,None,2,2
1,2,female,29.0,0,0,10.5,S,1,1,1,3,C.A.,2,1
0,3,male,19.0,0,0,8.1583,S,0,1,1,1,Other,1,1
1,3,female,17.0,4,2,7.925,S,0,7,0,2,None,1,1
0,3,male,26.0,2,0,8.6625,S,0,3,0,1,None,2,1
0,2,male,32.0,0,0,10.5,S,0,1,1,1,C.A.,2,1
0,3,female,16.0,5,2,46.9,S,0,8,0,2,Other,1,3
0,2,male,21.0,0,0,73.5,S,0,1,1,1,Other,2,3
0,3,male,26.0,1,0,14.4542,C,0,2,0,1,None,2,1
1,3,male,32.0,0,0,56.4958,S,0,1,1,1,None,2,3
0,3,male,25.0,0,0,7.65,S,1,1,1,1,None,2,0
0,3,male,27.77767996384952,0,0,7.8958,S,0,1,1,1,None,2,0
0,3,male,30.500245379086014,0,0,8.05,S,0,1,1,1,None,2,1
1,2,male,0.83,0,2,29.0,S,0,3,0,4,None,0,2
1,3,female,30.0,0,0,12.475,S,0,1,1,2,None,2,1
0,3,male,22.0,0,0,9.0,S,0,1,1,1,None,2,1
1,3,male,29.0,0,0,9.5,S,0,1,1,1,None,2,1
1,3,female,21.66835790598291,0,0,7.7875,Q,0,1,1,2,None,2,0
0,1,male,28.0,0,0,47.1,S,0,1,1,1,None,2,3
1,2,female,17.0,0,0,10.5,S,0,1,1,2,Other,1,1
1,3,female,33.0,3,0,15.85,S,0,4,0,3,None,2,2
0,3,male,16.0,1,3,34.375,S,0,5,0,1,W./C.,1,3
0,3,male,30.500245379086014,0,0,8.05,S,0,1,1,1,SOTON/OQ,2,1
1,1,female,23.0,3,2,263.0,S,1,6,0,2,None,2,3
0,3,male,24.0,0,0,8.05,S,0,1,1,1,None,2,1
0,3,male,29.0,0,0,8.05,S,0,1,1,1,None,2,1
0,3,male,20.0,0,0,7.8542,S,0,1,1,1,None,1,0
0,1,male,46.0,1,0,61.175,S,1,2,0,1,Other,3,3
0,3,male,26.0,1,2,20.575,S,0,4,0,1,C.A.,2,2
0,3,male,59.0,0,0,7.25,S,0,1,1,1,None,4,0
0,3,male,30.500245379086014,0,0,8.05,S,0,1,1,1,None,2,1
0,1,male,71.0,0,0,34.6542,C,1,1,1,1,PC,5,3
1,1,male,23.0,0,1,63.3583,C,1,2,0,1,PC,2,3
1,2,female,34.0,0,1,23.0,S,0,2,0,3,None,2,2
0,2,male,34.0,1,0,26.0,S,0,2,0,1,None,2,2
0,3,female,28.0,0,0,7.8958,S,0,1,1,2,None,2,0
0,3,male,27.77767996384952,0,0,7.8958,S,0,1,1,1,None,2,0
0,1,male,21.0,0,1,77.2875,S,1,2,0,1,None,2,3
0,3,male,33.0,0,0,8.6542,S,0,1,1,1,None,2,1
0,3,male,37.0,2,0,7.925,S,0,3,0,1,None,3,1
0,3,male,28.0,0,0,7.8958,S,0,1,1,1,None,2,0
1,3,female,21.0,0,0,7.65,S,0,1,1,2,None,2,0
1,3,male,29.916266617777648,0,0,7.775,S,0,1,1,1,None,2,0
0,3,male,38.0,0,0,7.8958,S,0,1,1,1,None,3,0
1,3,female,29.211750000000002,1,0,24.15,Q,0,2,0,2,None,2,2
0,1,male,47.0,0,0,52.0,S,1,1,1,1,None,3,3
0,3,female,14.5,1,0,14.4542,C,0,2,0,2,None,1,1
0,3,male,22.0,0,0,8.05,S,0,1,1,1,None,2,1
0,3,female,20.0,1,0,9.825,S,0,2,0,2,None,1,1
0,3,female,17.0,0,0,14.4583,C,0,1,1,2,None,1,2
0,3,male,21.0,0,0,7.925,S,0,1,1,1,STON/O,2,1
0,3,male,70.5,0,0,7.75,Q,0,1,1,1,None,5,0
0,2,male,29.0,1,0,21.0,S,0,2,0,1,None,2,2
0,1,male,24.0,0,1,247.5208,C,1,2,0,1,PC,2,3
0,3,female,2.0,4,2,31.275,S,0,7,0,2,None,0,3
0,2,male,21.0,2,0,73.5,S,0,3,0,1,Other,2,3
0,3,male,30.500245379086014,0,0,8.05,S,0,1,1,1,Other,2,1
0,2,male,32.5,1,0,30.0708,C,0,2,0,1,None,2,2
1,2,female,32.5,0,0,13.0,S,1,1,1,2,None,2,1
0,1,male,54.0,0,1,77.2875,S,1,2,0,1,None,4,3
1,3,male,12.0,1,0,11.2417,C,0,2,0,4,None,0,1
0,3,male,41.438600115162615,0,0,7.75,Q,0,1,1,1,None,3,0
1,3,male,24.0,0,0,7.1417,S,0,1,1,1,Other,2,0
1,3,female,14.044749999999999,1,1,22.3583,C,1,3,0,2,None,1,2
0,3,male,45.0,0,0,6.975,S,0,1,1,1,None,3,0
0,3,male,33.0,0,0,7.8958,C,0,1,1,1,None,2,0
0,3,male,20.0,0,0,7.05,S,0,1,1,1,SOTON/O.Q.,1,0
0,3,female,47.0,1,0,14.5,S,0,2,0,3,A/5.,3,2
1,2,female,29.0,1,0,26.0,S,0,2,0,3,None,2,2
0,2,male,25.0,0,0,13.0,S,0,1,1,1,C.A.,2,1
0,2,male,23.0,0,0,15.0458,C,0,1,1,1,Other,2,2
1,1,female,19.0,0,2,26.2833,S,1,3,0,2,None,1,2
0,1,male,37.0,1,0,53.1,S,1,2,0,1,None,3,3
0,3,male,16.0,0,0,9.2167,S,0,1,1,1,None,1,1
0,1,male,24.0,0,0,79.2,C,1,1,1,1,PC,2,3
0,3,female,24.46,0,2,15.2458,C,0,3,0,3,None,2,2
1,3,female,22.0,0,0,7.75,S,0,1,1,2,None,2,0
1,3,female,24.0,1,0,15.85,S,0,2,0,3,Other,2,2
0,3,male,19.0,0,0,6.75,Q,0,1,1,1,None,1,0
0,2,male,18.0,0,0,11.5,S,0,1,1,1,None,1,1
0,2,male,19.0,1,1,36.75,S,0,3,0,1,C.A.,1,3
1,3,male,27.0,0,0,7.7958,S,0,1,1,1,None,2,0
0,3,female,9.0,2,2,34.375,S,0,5,0,2,W./C.,0,3
0,2,male,36.5,0,2,26.0,S,1,3,0,1,None,3,2
0,2,male,42.0,0,0,13.0,S,0,1,1,5,None,3,1
0,2,male,51.0,0,0,12.525,S,0,1,1,5,Other,4,1
1,1,female,22.0,1,0,66.6,S,1,2,0,3,None,2,3
0,3,male,55.5,0,0,8.05,S,0,1,1,1,Other,4,1
0,3,male,40.5,0,2,14.5,S,0,3,0,1,A/5.,3,2
0,3,male,30.418680408955094,0,0,7.3125,S,0,1,1,1,Other,2,0
0,1,male,51.0,0,1,61.3792,C,0,2,0,1,PC,4,3
1,3,female,16.0,0,0,7.7333,Q,0,1,1,2,None,1,0
0,3,male,30.0,0,0,8.05,S,0,1,1,1,SOTON/OQ,2,1
0,3,male,25.624863193587466,0,0,8.6625,S,0,1,1,1,None,2,1
0,3,male,9.87804761904762,8,2,69.55,S,0,11,0,4,CA.,0,3
0,3,male,44.0,0,1,16.1,S,0,2,0,1,None,3,2
1,2,female,40.0,0,0,15.75,S,0,1,1,3,C.A.,3,2
0,3,male,26.0,0,0,7.775,S,0,1,1,1,None,2,0
0,3,male,17.0,0,0,8.6625,S,0,1,1,1,None,1,1
0,3,male,1.0,4,1,39.6875,S,0,6,0,4,None,0,3
1,3,male,9.0,0,2,20.525,S,0,3,0,4,None,0,2
1,1,female,25.717499999999994,0,1,55.0,S,1,2,0,3,None,2,3
0,3,female,45.0,1,4,27.9,S,0,6,0,3,None,3,2
0,1,male,53.69042857142856,0,0,25.925,S,0,1,1,1,PC,4,2
0,3,male,28.0,0,0,56.4958,S,0,1,1,1,None,2,3
0,1,male,61.0,0,0,33.5,S,1,1,1,1,None,4,3
0,3,male,4.0,4,1,29.125,Q,0,6,0,4,None,0,2
1,3,female,1.0,1,1,11.1333,S,0,3,0,2,None,0,1
0,3,male,21.0,0,0,7.925,S,0,1,1,1,STON/O,2,1
0,1,male,56.0,0,0,30.6958,C,1,1,1,1,None,4,2
0,3,male,18.0,1,1,7.8542,S,0,3,0,1,None,1,0
0,3,male,7.4290376984126985,3,1,25.4667,S,0,5,0,4,None,0,2
0,1,female,50.0,0,0,28.7125,C,1,1,1,2,PC,3,2
0,2,male,30.0,0,0,13.0,S,0,1,1,1,None,2,1
0,3,male,36.0,0,0,0.0,S,0,1,1,1,None,3,0
0,3,female,14.310898809523808,8,2,69.55,S,0,11,0,2,CA.,1,3
0,2,male,33.143125,0,0,15.05,C,0,1,1,1,Other,2,2
0,3,male,9.0,4,2,31.3875,S,0,7,0,4,None,0,3
1,2,male,1.0,2,1,39.0,S,1,4,0,4,None,0,3
1,3,female,4.0,0,2,22.025,S,0,3,0,2,None,0,2
0,1,male,43.7575,0,0,50.0,S,1,1,1,1,None,3,3
1,3,female,28.570833333333336,1,0,15.5,Q,0,2,0,3,None,2,2
1,1,male,45.0,0,0,26.55,S,0,1,1,1,None,3,2
0,3,male,40.0,1,1,15.5,Q,0,3,0,1,None,3,2
0,3,male,36.0,0,0,7.8958,S,0,1,1,1,None,3,0
1,2,female,32.0,0,0,13.0,S,0,1,1,3,None,2,1
0,2,male,19.0,0,0,13.0,S,0,1,1,1,None,1,1
1,3,female,19.0,1,0,7.8542,S,0,2,0,2,None,1,0
1,2,male,3.0,1,1,26.0,S,1,3,0,4,None,0,2
1,1,female,44.0,0,0,27.7208,C,1,1,1,3,PC,3,2
1,1,female,58.0,0,0,146.5208,C,1,1,1,2,PC,4,3
0,3,male,41.438600115162615,0,0,7.75,Q,0,1,1,1,None,3,0
0,3,male,42.0,0,1,8.4042,S,0,2,0,1,None,3,1
1,3,female,25.981350080475085,0,0,7.75,Q,0,1,1,2,None,2,0
0,2,female,24.0,0,0,13.0,S,0,1,1,2,None,2,1
0,3,male,28.0,0,0,9.5,S,0,1,1,1,None,2,1
0,3,male,9.87804761904762,8,2,69.55,S,0,11,0,1,CA.,0,3
0,3,male,34.0,0,0,6.4958,S,0,1,1,1,None,2,0
0,3,male,45.5,0,0,7.225,C,0,1,1,1,None,3,0
1,3,male,18.0,0,0,8.05,S,0,1,1,1,A/5,1,1
0,3,female,2.0,0,1,10.4625,S,1,2,0,2,None,0,1
0,3,male,32.0,1,0,15.85,S,0,2,0,1,None,2,2
1,3,male,26.0,0,0,18.7875,C,0,1,1,1,None,2,2
1,3,female,16.0,0,0,7.75,Q,0,1,1,2,None,1,0
1,1,male,40.0,0,0,31.0,C,1,1,1,1,None,3,2
0,3,male,24.0,0,0,7.05,S,0,1,1,1,SOTON/O.Q.,2,0
1,2,female,35.0,0,0,21.0,S,0,1,1,2,Other,2,2
0,3,male,22.0,0,0,7.25,S,0,1,1,1,A/5,2,0
0,2,male,30.0,0,0,13.0,S,0,1,1,1,None,2,1
0,3,male,34.682043713231195,1,0,7.75,Q,0,2,0,1,None,2,0
1,1,female,31.0,1,0,113.275,C,1,2,0,2,None,2,3
1,3,female,27.0,0,0,7.925,S,0,1,1,2,Other,2,1
0,2,male,42.0,1,0,27.0,S,0,2,0,1,None,3,2
1,1,female,32.0,0,0,76.2917,C,1,1,1,2,None,2,3
0,2,male,30.0,0,0,10.5,S,0,1,1,1,Other,2,1
1,3,male,16.0,0,0,8.05,S,0,1,1,1,SOTON/OQ,1,1
0,2,male,27.0,0,0,13.0,S,0,1,1,1,None,2,1
0,3,male,51.0,0,0,8.05,S,0,1,1,1,None,4,1
0,3,male,27.77767996384952,0,0,7.8958,S,0,1,1,1,None,2,0
1,1,male,38.0,1,0,90.0,S,1,2,0,1,None,3,3
0,3,male,22.0,0,0,9.35,S,0,1,1,1,Other,2,1
1,2,male,19.0,0,0,10.5,S,0,1,1,1,Other,1,1
0,3,male,20.5,0,0,7.25,S,0,1,1,1,A/5,2,0
0,2,male,18.0,0,0,13.0,S,0,1,1,1,None,1,1
0,3,female,7.86844841269841,3,1,25.4667,S,0,5,0,2,None,0,2
1,1,female,35.0,1,0,83.475,S,1,2,0,3,None,2,3
0,3,male,29.0,0,0,7.775,S,0,1,1,1,None,2,0
0,2,male,59.0,0,0,13.5,S,0,1,1,1,None,4,1
1,3,female,5.0,4,2,31.3875,S,0,7,0,2,None,0,3
0,2,male,24.0,0,0,10.5,S,0,1,1,1,C.A.,2,1
0,3,female,21.486944444444443,0,0,7.55,S,0,1,1,2,W./C.,2,0
0,2,male,44.0,1,0,26.0,S,0,2,0,1,None,3,2
1,2,female,8.0,0,2,26.25,S,0,3,0,2,C.A.,0,2
0,2,male,19.0,0,0,10.5,S,0,1,1,1,None,1,1
0,2,male,33.0,0,0,12.275,S,0,1,1,1,Other,2,1
0,3,female,16.698583333333332,1,0,14.4542,C,0,2,0,2,None,1,1
1,3,female,28.570833333333336,1,0,15.5,Q,0,2,0,2,None,2,2
0,2,male,29.0,0,0,10.5,S,0,1,1,1,W./C.,2,1
0,3,male,22.0,0,0,7.125,S,0,1,1,1,STON/O,2,0
0,3,male,30.0,0,0,7.225,C,0,1,1,1,None,2,0
0,1,male,44.0,2,0,90.0,Q,1,3,0,5,None,3,3
0,3,female,25.0,0,0,7.775,S,0,1,1,2,None,2,0
1,2,female,24.0,0,2,14.5,S,0,3,0,3,None,2,2
1,1,male,37.0,1,1,52.5542,S,1,3,0,1,None,3,3
0,2,male,54.0,1,0,26.0,S,0,2,0,5,None,4,2
0,3,male,30.418680408955094,0,0,7.25,S,0,1,1,1,None,2,0
0,3,female,29.0,1,1,10.4625,S,1,3,0,3,None,2,1
0,1,male,62.0,0,0,26.55,S,1,1,1,1,None,4,2
0,3,male,30.0,1,0,16.1,S,0,2,0,1,A/5.,2,2
0,3,female,41.0,0,2,20.2125,S,0,3,0,3,None,3,2
1,3,female,29.0,0,2,15.2458,C,0,3,0,3,None,2,2
1,1,female,33.212833333333336,0,0,79.2,C,0,1,1,3,PC,2,3
1,1,female,30.0,0,0,86.5,S,1,1,1,2,None,2,3
1,1,female,35.0,0,0,512.3292,C,0,1,1,2,PC,2,3
1,2,female,50.0,0,1,26.0,S,0,2,0,3,None,3,2
0,3,male,41.438600115162615,0,0,7.75,Q,0,1,1,1,None,3,0
1,3,male,3.0,4,2,31.3875,S,0,7,0,4,None,0,3
0,1,male,52.0,1,1,79.65,S,1,3,0,1,None,4,3
0,1,male,40.0,0,0,0.0,S,1,1,1,1,None,3,0
0,3,female,25.981350080475085,0,0,7.75,Q,0,1,1,2,None,2,0
0,2,male,36.0,0,0,10.5,S,0,1,1,1,C.A.,3,1
0,3,male,16.0,4,1,39.6875,S,0,6,0,1,None,1,3
1,3,male,25.0,1,0,7.775,S,0,2,0,1,None,2,0
1,1,female,58.0,0,1,153.4625,S,1,2,0,3,PC,4,3
1,1,female,35.0,0,0,135.6333,S,1,1,1,2,PC,2,3
0,1,male,35.7775,0,0,31.0,S,0,1,1,1,None,3,2
1,3,male,25.0,0,0,0.0,S,0,1,1,1,None,2,0
1,2,female,41.0,0,1,19.5,S,0,2,0,3,None,3,2
0,1,male,37.0,0,1,29.7,C,1,2,0,1,PC,3,2
1,3,female,25.981350080475085,0,0,7.75,Q,0,1,1,2,None,2,0
1,1,female,63.0,1,0,77.9583,S,1,2,0,2,None,4,3
0,3,female,45.0,0,0,7.75,S,0,1,1,2,None,3,0
0,2,male,34.847390302800164,0,0,0.0,S,0,1,1,1,None,2,0
0,3,male,7.0,4,1,29.125,Q,0,6,0,4,None,0,2
1,3,female,35.0,1,1,20.25,S,0,3,0,3,C.A.,2,2
0,3,male,65.0,0,0,7.75,Q,0,1,1,1,None,4,0
0,3,male,28.0,0,0,7.8542,S,0,1,1,1,None,2,0
0,3,male,16.0,0,0,9.5,S,0,1,1,1,None,1,1
1,3,male,19.0,0,0,8.05,S,0,1,1,1,A/5.,1,1
0,1,male,44.65962896825396,0,0,26.0,S,1,1,1,1,None,3,2
0,3,male,33.0,0,0,8.6625,C,0,1,1,1,None,2,1
1,3,male,30.0,0,0,9.5,S,0,1,1,1,None,2,1
0,3,male,22.0,0,0,7.8958,S,0,1,1,1,None,2,0
1,2,male,42.0,0,0,13.0,S,0,1,1,1,None,3,1
1,3,female,22.0,0,0,7.75,Q,0,1,1,2,None,2,0
1,1,female,26.0,0,0,78.85,S,0,1,1,2,None,2,3
1,1,female,19.0,1,0,91.0792,C,1,2,0,3,None,1,3
0,2,male,36.0,0,0,12.875,C,1,1,1,1,Other,3,1
0,3,female,24.0,0,0,8.85,S,0,1,1,2,None,2,1
0,3,male,24.0,0,0,7.8958,S,0,1,1,1,None,2,0
0,1,male,40.3862619047619,0,0,27.7208,C,0,1,1,1,PC,3,2
