Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,FamilySize,IsAlone,Title,TicketPrefix,AgeBin,FareBin
1,1,female,52.0,1,0,78.2667,C,1,2,0,3,None,4,3
0,3,male,47.0,0,0,7.25,S,0,1,1,1,A/5,3,0
0,3,female,25.96700238095238,0,2,7.75,Q,0,3,0,2,None,2,0
0,2,male,37.0,1,0,26.0,S,0,2,0,1,Other,3,2
0,3,male,36.0,1,1,24.15,S,0,3,0,1,None,3,2
1,2,female,19.312265873015875,0,0,33.0,S,0,1,1,2,None,1,3
0,3,male,49.0,0,0,0.0,S,0,1,1,1,None,3,0
0,3,male,32.669700396825384,0,0,7.225,C,0,1,1,1,None,2,0
1,1,male,49.0,1,0,56.9292,C,1,2,0,5,PC,3,3
1,2,female,24.0,2,1,27.0,S,0,4,0,3,None,2,2
0,3,male,27.77767996384952,0,0,7.8958,S,0,1,1,1,None,2,0
0,1,male,40.56183333333333,0,0,42.4,S,0,1,1,1,None,3,3
0,3,male,44.0,0,0,8.05,S,0,1,1,1,None,3,1
1,1,male,35.0,0,0,26.55,C,0,1,1,1,None,2,2
0,3,male,36.0,1,0,15.55,S,0,2,0,1,None,3,2
0,3,male,30.0,0,0,7.8958,S,0,1,1,1,None,2,0
1,1,male,27.0,0,0,30.5,S,0,1,1,1,None,2,2
1,2,female,22.0,1,2,41.5792,C,0,4,0,3,Other,2,3
1,1,female,40.0,0,0,153.4625,S,1,1,1,2,PC,3,3
0,3,female,39.0,1,5,31.275,S,0,7,0,3,None,3,3
0,3,male,27.515345418470407,0,0,7.05,S,0,1,1,1,SOTON/O.Q.,2,0
1,3,female,28.570833333333336,1,0,15.5,Q,0,2,0,2,None,2,2
0,3,male,41.438600115162615,0,0,7.75,Q,0,1,1,1,None,3,0
0,3,male,35.0,0,0,8.05,S,0,1,1,1,None,2,1
1,2,female,24.0,1,2,65.0,S,0,4,0,2,None,2,3
0,3,male,34.0,1,1,14.4,S,0,3,0,1,None,2,1
0,3,female,26.0,1,0,16.1,S,0,2,0,3,A/5.,2,2
1,2,female,4.0,2,1,39.0,S,1,4,0,2,None,0,3
0,2,male,26.0,0,0,10.5,S,0,1,1,1,None,2,1
0,3,male,27.0,1,0,14.4542,C,0,2,0,1,None,2,1
1,1,male,42.0,1,0,52.5542,S,1,2,0,1,None,3,3
1,3,male,20.0,1,1,15.7417,C,0,3,0,1,None,1,2
0,3,male,21.0,0,0,7.8542,S,0,1,1,1,None,2,0
0,3,male,21.0,0,0,16.1,S,0,1,1,1,None,2,2
0,1,male,61.0,0,0,32.3208,S,1,1,1,1,None,4,3
0,2,male,57.0,0,0,12.35,Q,0,1,1,5,None,4,1
1,1,female,21.0,0,0,77.9583,S,1,1,1,2,None,2,3
0,3,male,26.0,0,0,7.8958,S,0,1,1,1,None,2,0
0,3,male,24.975909902597408,0,0,7.7333,Q,0,1,1,1,None,2,0
1,1,male,80.0,0,0,30.0,S,1,1,1,1,None,5,2
0,3,male,51.0,0,0,7.0542,S,0,1,1,1,None,4,0
1,1,male,32.0,0,0,30.5,C,1,1,1,5,None,2,2
0,1,male,42.139696428571426,0,0,0.0,S,0,1,1,1,None,3,0
0,3,female,9.0,3,2,27.9,S,0,6,0,2,None,0,2
1,2,female,28.0,0,0,13.0,S,0,1,1,2,None,2,1
0,3,male,32.0,0,0,7.925,S,0,1,1,1,STON/O,2,1
0,2,male,31.0,1,1,26.25,S,0,3,0,1,C.A.,2,2
0,3,female,41.0,0,5,39.6875,S,0,6,0,3,None,3,3
0,3,male,27.657249999999998,1,0,16.1,S,0,2,0,1,None,2,2
0,3,male,20.0,0,0,7.8542,S,0,1,1,1,None,1,0
1,1,female,24.0,0,0,69.3,C,1,1,1,2,PC,2,3
0,3,female,2.0,3,2,27.9,S,0,6,0,2,None,0,2
1,3,male,29.660904761904757,0,0,56.4958,S,0,1,1,1,None,2,3
1,3,female,0.75,2,1,19.2583,C,0,4,0,2,None,0,2
1,1,male,48.0,1,0,76.7292,C,1,2,0,1,PC,3,3
0,3,male,19.0,0,0,7.8958,S,0,1,1,1,None,1,0
1,1,male,56.0,0,0,35.5,C,1,1,1,5,None,4,3
0,3,male,35.6745,0,0,7.55,S,0,1,1,1,Other,3,0
1,3,female,23.0,0,0,7.55,S,0,1,1,2,CA.,2,0
0,3,male,27.77767996384952,0,0,7.8958,S,0,1,1,1,None,2,0
1,2,female,18.0,0,1,23.0,S,0,2,0,2,None,1,2
0,3,male,21.0,0,0,8.4333,S,0,1,1,1,None,2,1
1,3,female,22.999017857142857,0,0,7.8292,Q,0,1,1,2,None,2,0
0,3,female,18.0,0,0,6.75,Q,0,1,1,2,None,1,0
0,2,male,24.0,2,0,73.5,S,0,3,0,1,Other,2,3
0,3,male,27.77767996384952,0,0,7.8958,S,0,1,1,1,None,2,0
0,3,female,32.0,1,1,15.5,Q,0,3,0,3,None,2,2
0,2,male,23.0,0,0,13.0,S,0,1,1,1,None,2,1
0,1,male,58.0,0,2,113.275,C,1,3,0,1,None,4,3
1,1,male,50.0,2,0,133.65,S,0,3,0,5,PC,3,3
0,3,male,40.0,0,0,7.225,C,0,1,1,1,None,3,0
0,1,male,47.0,0,0,25.5875,S,1,1,1,1,None,3,2
0,3,male,36.0,0,0,7.4958,S,0,1,1,1,None,3,0
1,3,male,20.0,1,0,7.925,S,0,2,0,1,STON/O,1,1
0,2,male,32.0,2,0,73.5,S,0,3,0,1,Other,2,3
0,2,male,25.0,0,0,13.0,S,0,1,1,1,None,2,1
0,3,male,29.916266617777648,0,0,7.775,S,0,1,1,1,None,2,0
0,3,male,43.0,0,0,8.05,S,0,1,1,1,A/5,3,1
1,1,female,39.27938095238094,1,0,52.0,S,1,2,0,3,None,3,3
1,2,female,40.0,1,1,39.0,S,0,3,0,3,None,3,3
0,1,male,31.0,1,0,52.0,S,1,2,0,1,Other,2,3
0,2,male,70.0,0,0,10.5,S,0,1,1,1,C.A.,5,1
1,2,male,31.0,0,0,13.0,S,0,1,1,1,None,2,1
0,2,male,34.847390302800164,0,0,0.0,S,0,1,1,1,None,2,0
0,3,male,18.0,0,0,7.775,S,0,1,1,1,None,1,0
0,3,male,24.5,0,0,8.05,S,0,1,1,1,None,2,1
1,3,female,18.0,0,0,9.8417,S,0,1,1,2,None,1,1
0,3,female,43.0,1,6,46.9,S,0,8,0,3,Other,3,3
1,1,male,36.0,0,1,512.3292,C,1,2,0,1,PC,3,3
0,3,female,19.326171792328047,0,0,8.1375,Q,0,1,1,2,None,1,1
1,1,male,27.0,0,0,76.7292,C,1,1,1,1,PC,2,3
0,3,male,20.0,0,0,9.225,S,0,1,1,1,None,1,1
0,3,male,14.0,5,2,46.9,S,0,8,0,1,Other,1,3
0,2,male,60.0,1,1,39.0,S,0,3,0,1,None,4,3
0,2,male,25.0,1,2,41.5792,C,0,4,0,1,Other,2,3
0,3,male,14.0,4,1,39.6875,S,0,6,0,1,None,1,3
0,3,male,19.0,0,0,10.1708,S,0,1,1,1,None,1,1
0,3,male,18.0,0,0,7.7958,S,0,1,1,1,None,1,0
1,1,female,15.0,0,1,211.3375,S,1,2,0,2,None,1,3
1,1,male,31.0,1,0,57.0,S,1,2,0,1,None,2,3
1,3,female,4.0,0,1,13.4167,C,0,2,0,2,None,0,1
1,3,male,29.660904761904757,0,0,56.4958,S,0,1,1,1,None,2,3
0,3,male,25.0,0,0,7.225,C,0,1,1,1,None,2,0
0,1,male,60.0,0,0,26.55,S,0,1,1,5,None,4,2
0,2,male,52.0,0,0,13.5,S,0,1,1,1,None,4,1
0,3,male,44.0,0,0,8.05,S,0,1,1,1,None,3,1
1,3,female,19.028337301587303,0,0,7.7333,Q,0,1,1,2,None,1,0
0,1,male,49.0,1,1,110.8833,C,1,3,0,1,None,3,3
0,3,male,42.0,0,0,7.65,S,1,1,1,1,None,3,0
1,1,female,18.0,1,0,227.525,C,1,2,0,3,PC,1,3
1,1,male,35.0,0,0,26.2875,S,1,1,1,1,PC,2,2
0,3,female,18.0,0,1,14.4542,C,0,2,0,2,None,1,1
0,3,male,25.0,0,0,7.7417,Q,0,1,1,1,None,2,0
0,3,male,26.0,1,0,7.8542,S,0,2,0,1,None,2,0
0,2,male,39.0,0,0,26.0,S,0,1,1,1,None,3,2
1,2,female,45.0,0,0,13.5,S,0,1,1,3,None,3,1
1,1,male,42.0,0,0,26.2875,S,1,1,1,1,PC,3,2
1,1,female,22.0,0,0,151.55,S,0,1,1,2,None,2,3
1,3,male,25.702650000000002,1,1,15.2458,C,0,3,0,4,None,2,2
1,1,female,24.0,0,0,49.5042,C,1,1,1,2,PC,2,3
0,1,male,49.99180576368076,0,0,26.55,S,1,1,1,1,None,3,2
1,1,male,48.0,1,0,52.0,S,1,2,0,1,None,3,3
0,3,male,29.0,0,0,9.4833,S,0,1,1,1,None,2,1
0,2,male,52.0,0,0,13.0,S,0,1,1,1,None,4,1
0,3,male,19.0,0,0,7.65,S,1,1,1,1,None,1,0
1,1,female,38.0,0,0,227.525,C,1,1,1,2,PC,3,3
1,2,female,27.0,0,0,10.5,S,1,1,1,2,None,2,1
0,3,male,28.29741071428571,0,0,15.5,Q,0,1,1,1,None,2,2
0,3,male,33.0,0,0,7.775,S,0,1,1,1,None,2,0
1,2,female,6.0,0,1,33.0,S,0,2,0,2,None,0,3
0,3,male,17.0,1,0,7.0542,S,0,2,0,1,None,1,0
0,2,male,34.0,0,0,13.0,S,0,1,1,1,None,2,1
0,2,male,50.0,0,0,13.0,S,0,1,1,1,None,3,1
1,1,male,27.0,1,0,53.1,S,1,2,0,1,None,2,3
0,3,male,20.0,0,0,8.6625,S,0,1,1,1,None,1,1
1,2,female,30.0,3,0,21.0,S,0,4,0,3,None,2,2
1,3,female,19.028337301587303,0,0,7.7375,Q,0,1,1,2,None,1,0
0,2,male,25.0,1,0,26.0,S,0,2,0,1,None,2,2
0,3,female,25.0,1,0,7.925,S,0,2,0,2,Other,2,1
1,1,female,29.0,0,0,211.3375,S,1,1,1,2,None,2,3
0,3,male,11.0,0,0,18.7875,C,0,1,1,1,None,0,2
0,2,male,34.847390302800164,0,0,0.0,S,0,1,1,1,None,2,0
0,2,male,23.0,0,0,13.0,S,0,1,1,1,None,2,1
0,2,male,23.0,0,0,13.0,S,0,1,1,1,None,2,1
0,3,male,28.5,0,0,16.1,S,0,1,1,1,None,2,2
0,3,female,48.0,1,3,34.375,S,0,5,0,3,W./C.,3,3
1,1,male,35.0,0,0,512.3292,C,1,1,1,1,PC,2,3
0,3,male,27.77767996384952,0,0,7.8958,S,0,1,1,1,None,2,0
0,3,male,27.77767996384952,0,0,7.8958,S,0,1,1,1,None,2,0
1,1,male,44.10744642857143,0,0,30.0,S,1,1,1,1,None,3,2
0,1,male,36.0,1,0,78.85,S,1,2,0,1,None,3,3
1,1,female,21.0,2,2,262.375,C,1,5,0,2,PC,2,3
0,3,male,24.0,1,0,16.1,S,0,2,0,1,None,2,2
1,3,male,31.0,0,0,7.925,S,0,1,1,1,STON/O,2,1
0,1,male,70.0,1,1,71.0,S,1,3,0,5,Other,5,3
0,3,male,16.0,1,1,20.25,S,0,3,0,1,C.A.,1,2
1,2,female,30.0,0,0,13.0,S,0,1,1,2,None,2,1
0,1,male,19.0,1,0,53.1,S,1,2,0,1,None,1,3
0,3,male,31.0,0,0,7.75,Q,0,1,1,1,None,2,0
1,2,female,4.0,1,1,23.0,S,0,3,0,2,None,0,2
1,3,male,6.0,0,1,12.475,S,1,2,0,4,None,0,1
0,3,male,33.0,0,0,9.5,S,0,1,1,1,None,2,1
0,3,male,23.0,0,0,7.8958,S,0,1,1,1,None,2,0
1,2,female,48.0,1,2,65.0,S,0,4,0,3,None,3,3
1,2,male,0.67,1,1,14.5,S,0,3,0,4,None,0,2
0,3,male,28.0,0,0,7.7958,S,0,1,1,1,None,2,0
0,2,male,18.0,0,0,11.5,S,0,1,1,1,None,1,1
0,3,male,34.0,0,0,8.05,S,0,1,1,1,None,2,1
1,1,female,33.0,0,0,86.5,S,1,1,1,5,None,2,3
0,3,male,22.1108658008658,0,0,14.5,S,0,1,1,1,None,2,2
0,3,male,41.0,0,0,7.125,S,0,1,1,1,Other,3,0
1,3,male,20.0,0,0,7.2292,C,0,1,1,1,None,1,0
1,1,female,36.0,1,2,120.0,S,1,4,0,3,None,3,3
0,3,male,16.0,0,0,7.775,S,0,1,1,1,None,1,0
1,1,female,51.0,1,0,77.9583,S,1,2,0,3,None,4,3
0,1,male,39.48666666666667,0,0,39.6,C,0,1,1,5,None,3,3
0,3,female,30.5,0,0,7.75,Q,0,1,1,2,None,2,0
0,3,male,33.4105,1,0,24.15,Q,0,2,0,1,None,2,2
0,3,male,32.0,0,0,8.3625,S,0,1,1,1,None,2,1
0,3,male,24.0,0,0,9.5,S,0,1,1,1,None,2,1
0,3,male,48.0,0,0,7.8542,S,0,1,1,1,None,3,0
0,2,female,57.0,0,0,10.5,S,1,1,1,3,Other,4,1
0,3,male,32.669700396825384,0,0,7.225,C,0,1,1,1,None,2,0
1,2,female,54.0,1,3,23.0,S,0,5,0,3,None,4,2
0,3,male,18.0,0,0,7.75,S,0,1,1,1,None,1,0
0,3,male,40.24729654373403,0,0,7.75,Q,1,1,1,1,None,3,0
1,3,female,5.0,0,0,12.475,S,0,1,1,2,None,0,1
0,3,male,24.975909902597408,0,0,7.7375,Q,0,1,1,1,None,2,0
1,1,female,43.0,0,1,211.3375,S,1,2,0,3,None,3,3
1,3,female,13.0,0,0,7.2292,C,0,1,1,2,None,1,0
1,1,female,17.0,1,0,57.0,S,1,2,0,3,None,1,3
0,1,male,29.0,0,0,30.0,S,1,1,1,1,None,2,2
0,3,male,17.8129,1,2,23.45,S,0,4,0,1,W./C.,1,2
0,3,male,25.0,0,0,7.05,S,0,1,1,1,SOTON/O.Q.,2,0
0,3,male,25.0,0,0,7.25,S,0,1,1,1,None,2,0
1,3,female,18.0,0,0,7.4958,S,0,1,1,2,None,1,0
0,3,male,8.0,4,1,29.125,Q,0,6,0,4,None,0,2
1,3,male,1.0,1,2,20.575,S,0,4,0,4,C.A.,0,2
0,1,male,46.0,0,0,79.2,C,1,1,1,1,PC,3,3
0,3,male,41.438600115162615,0,0,7.75,Q,0,1,1,1,None,3,0
0,2,male,16.0,0,0,26.0,S,0,1,1,1,None,1,2
0,3,female,14.310898809523808,8,2,69.55,S,0,11,0,2,CA.,1,3
0,1,male,38.64683333333333,0,0,30.6958,C,0,1,1,1,PC,3,2
0,3,male,25.0,0,0,7.8958,S,0,1,1,1,None,2,0
0,2,male,39.0,0,0,13.0,S,0,1,1,1,None,3,1
1,1,female,49.0,0,0,25.9292,S,1,1,1,5,None,3,2
1,3,female,31.0,0,0,8.6833,S,0,1,1,3,None,2,1
0,3,male,30.0,0,0,7.2292,C,0,1,1,1,None,2,0
0,3,female,30.0,1,1,24.15,S,0,3,0,3,None,2,2
0,2,male,34.0,0,0,13.0,S,0,1,1,1,None,2,1
1,2,female,31.0,1,1,26.25,S,0,3,0,3,C.A.,2,2
1,1,male,11.0,1,2,120.0,S,1,4,0,4,None,0,3
1,3,male,0.42,0,1,8.5167,C,0,2,0,4,None,0,1
1,3,male,27.0,0,0,6.975,S,0,1,1,1,None,2,0
0,3,male,31.0,0,0,7.775,S,0,1,1,1,None,2,0
0,1,male,39.0,0,0,0.0,S,1,1,1,1,None,3,0
0,3,female,18.0,0,0,7.775,S,0,1,1,2,None,1,0
0,2,male,39.0,0,0,13.0,S,0,1,1,1,None,3,1
1,1,female,33.0,1,0,53.1,S,1,2,0,3,None,2,3
0,3,male,26.0,0,0,7.8875,S,0,1,1,1,None,2,0
0,3,male,39.0,0,0,24.15,S,0,1,1,1,Other,3,2
0,2,male,35.0,0,0,10.5,S,0,1,1,1,None,2,1
0,3,female,6.0,4,2,31.275,S,0,7,0,2,None,0,3
0,3,male,30.5,0,0,8.05,S,0,1,1,1,None,2,1
0,1,male,39.313583333333334,0,0,0.0,S,1,1,1,1,None,3,0
0,3,female,23.0,0,0,7.925,S,0,1,1,2,Other,2,1
0,2,male,31.0,1,1,37.0042,C,0,3,0,1,Other,2,3
0,3,male,43.0,0,0,6.45,S,0,1,1,1,Other,3,0
0,3,male,10.0,3,2,27.9,S,0,6,0,4,None,0,2
1,1,female,52.0,1,1,93.5,S,1,3,0,3,None,4,3
1,3,male,27.0,0,0,8.6625,S,0,1,1,1,None,2,1
0,1,male,38.0,0,0,0.0,S,0,1,1,5,None,3,0
1,3,female,27.0,0,1,12.475,S,1,2,0,3,None,2,1
0,3,male,2.0,4,1,39.6875,S,0,6,0,4,None,0,3
0,3,male,35.469208333333334,0,0,6.95,Q,0,1,1,1,None,3,0
0,3,male,29.660904761904757,0,0,56.4958,S,0,1,1,1,None,2,3
1,2,male,1.0,0,2,37.0042,C,0,3,0,4,Other,0,3
1,3,male,41.438600115162615,0,0,7.75,Q,0,1,1,1,None,3,0
1,1,female,62.0,0,0,80.0,C,1,1,1,3,None,4,3
1,3,female,15.0,1,0,14.4542,C,0,2,0,3,None,1,1
1,2,male,0.83,1,1,18.75,S,0,3,0,4,None,0,2
0,3,male,24.901471681096687,0,0,7.2292,C,0,1,1,1,None,2,0
0,3,male,23.0,0,0,7.8542,S,0,1,1,1,None,2,0
0,3,male,18.0,0,0,8.3,S,0,1,1,1,None,1,1
1,1,female,39.0,1,1,83.1583,C,1,3,0,2,PC,3,3
0,3,male,21.0,0,0,8.6625,S,0,1,1,1,None,2,1
0,3,male,30.500245379086014,0,0,8.05,S,0,1,1,1,None,2,1
1,3,male,32.0,0,0,56.4958,S,0,1,1,1,None,2,3
1,1,male,52.491107142857146,0,0,29.7,C,1,1,1,1,None,4,2
0,3,male,20.0,0,0,7.925,S,0,1,1,1,Other,1,1
0,2,male,16.0,0,0,10.5,S,0,1,1,1,Other,1,1
1,1,female,30.0,0,0,31.0,C,0,1,1,2,None,2,2
0,3,male,34.5,0,0,6.4375,C,0,1,1,1,None,2,0
0,3,male,17.0,0,0,8.6625,S,0,1,1,1,None,1,1
0,3,male,42.0,0,0,7.55,S,0,1,1,1,C.A.,3,0
0,3,male,9.87804761904762,8,2,69.55,S,0,11,0,1,CA.,0,3
0,3,male,35.0,0,0,7.8958,C,0,1,1,1,None,2,0
0,2,male,28.0,0,1,33.0,S,0,2,0,5,None,2,3
1,1,female,35.79307142857142,1,0,89.1042,C,1,2,0,3,None,3,3
0,3,male,4.0,4,2,31.275,S,0,7,0,4,None,0,3
0,3,male,74.0,0,0,7.775,S,0,1,1,1,None,5,0
0,3,female,9.0,1,1,15.2458,C,0,3,0,2,None,0,2
1,1,female,16.0,0,1,39.4,S,1,2,0,2,PC,1,3
0,2,female,44.0,1,0,26.0,S,0,2,0,3,None,3,2
1,3,female,18.0,0,1,9.35,S,0,2,0,3,None,1,1
1,1,female,45.0,1,1,164.8667,S,0,3,0,3,None,3,3
1,1,male,51.0,0,0,26.55,S,1,1,1,1,None,4,2
1,3,female,24.0,0,3,19.2583,C,0,4,0,3,None,2,2
0,3,male,24.901471681096687,0,0,7.2292,C,0,1,1,1,None,2,0
0,3,male,41.0,2,0,14.1083,S,0,3,0,1,None,3,1
0,2,male,21.0,1,0,11.5,S,0,2,0,1,None,2,1
1,1,female,48.0,0,0,25.9292,S,1,1,1,3,None,3,2
0,3,female,14.310898809523808,8,2,69.55,S,0,11,0,2,CA.,1,3
0,2,male,24.0,0,0,13.0,S,0,1,1,1,None,2,1
1,2,female,42.0,0,0,13.0,S,0,1,1,3,None,3,1
1,2,female,27.0,1,0,13.8583,C,0,2,0,2,Other,2,1
0,1,male,31.0,0,0,50.4958,S,1,1,1,1,PC,2,3
0,3,male,25.898332737803145,0,0,9.5,S,0,1,1,1,None,2,1
1,3,male,4.0,1,1,11.1333,S,0,3,0,4,None,0,1
0,3,male,26.0,0,0,7.8958,S,0,1,1,1,None,2,0
1,1,female,47.0,1,1,52.5542,S,1,3,0,3,None,3,3
0,1,male,33.0,0,0,5.0,S,1,1,1,1,None,2,0
0,3,male,47.0,0,0,9.0,S,0,1,1,1,None,3,1
1,2,female,28.0,1,0,24.0,C,0,2,0,3,Other,2,2
1,3,female,15.0,0,0,7.225,C,0,1,1,2,None,1,0
0,3,male,20.0,0,0,9.8458,S,0,1,1,1,None,1,1
0,3,male,19.0,0,0,7.8958,S,0,1,1,1,None,1,0
0,3,male,27.77767996384952,0,0,7.8958,S,0,1,1,1,None,2,0
1,1,female,56.0,0,1,83.1583,C,1,2,0,3,None,4,3
1,2,female,25.0,0,1,26.0,S,0,2,0,3,None,2,2
0,3,male,33.0,0,0,7.8958,S,0,1,1,1,None,2,0
0,3,female,22.0,0,0,10.5167,S,0,1,1,2,None,2,1
0,2,male,28.0,0,0,10.5,S,0,1,1,1,Other,2,1
0,3,male,25.0,0,0,7.05,S,0,1,1,1,SOTON/OQ,2,0
0,3,female,39.0,0,5,29.125,Q,0,6,0,3,None,3,2
0,2,male,27.0,0,0,13.0,S,0,1,1,5,None,2,1
1,1,female,19.0,0,0,30.0,S,1,1,1,2,None,1,2
0,3,female,15.88558333333333,1,2,23.45,S,0,4,0,2,W./C.,1,2
1,1,male,26.0,0,0,30.0,C,1,1,1,1,None,2,2
0,3,male,32.0,0,0,7.75,Q,0,1,1,1,None,2,0
